date,time,current(nA),beam_charge_state(+)
08-06-2018,10:23:00,26,6
08-06-2018,10:28:00,26,
08-06-2018,10:38:00,27,
08-06-2018,10:48:00,27,
08-06-2018,10:58:00,26,
08-06-2018,11:08:00,26,
08-06-2018,11:18:00,24,
08-06-2018,11:28:00,24,
08-06-2018,11:38:00,22,
08-06-2018,11:48:00,20,
08-06-2018,11:58:00,19,
08-06-2018,12:08:00,17,
08-06-2018,12:18:00,15,
08-06-2018,12:28:00,14,
08-06-2018,12:38:00,13,
08-06-2018,12:48:00,10,
08-06-2018,12:58:00,9,
08-06-2018,13:08:00,6,
08-06-2018,13:18:00,8,
08-06-2018,13:28:00,6,
08-06-2018,13:38:00,6,
08-06-2018,13:48:00,6,
08-06-2018,13:58:00,7,
08-06-2018,14:08:00,6,
08-06-2018,14:18:00,6,
08-06-2018,14:28:00,6,
08-06-2018,14:38:00,5,
08-06-2018,14:48:00,6,
08-06-2018,14:58:00,5,
08-06-2018,15:08:00,5,
08-06-2018,15:18:00,5,
08-06-2018,15:28:00,7,
08-06-2018,15:38:00,5,
08-06-2018,15:48:00,5,
08-06-2018,15:58:00,5,
08-06-2018,16:08:00,5,
08-06-2018,16:18:00,5,
08-06-2018,16:28:00,6,
08-06-2018,16:38:00,4,
08-06-2018,16:48:00,4,
08-06-2018,17:00:00,4,
08-06-2018,17:10:00,4,
08-06-2018,17:20:00,3,
08-06-2018,17:31:00,4,
08-06-2018,17:41:00,5,
08-06-2018,17:51:00,7,
08-06-2018,17:55:00,6,
08-06-2018,18:01:00,7,
08-06-2018,18:11:00,7,
08-06-2018,18:21:00,9,
08-06-2018,18:46:00,10,
08-06-2018,18:55:00,0,
